step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_IN,10000.0,C100001,50000.0,40000.0,M200001,20000.0,30000.0,0,0
1,TRANSFER,250000.0,C100002,250000.0,0.0,C300002,0.0,0.0,1,1
2,CASH_OUT,1500.0,C100003,5000.0,3500.0,M200003,12500.0,14000.0,0,0
2,TRANSFER,450.0,C100004,1200.0,750.0,C300004,300.0,750.0,0,0
3,PAYMENT,85.5,C100005,2500.0,2414.5,M200005,0.0,0.0,0,0
4,CASH_IN,80000.0,C100006,12000.0,92000.0,M200006,500000.0,420000.0,0,0
4,CASH_OUT,470000.0,C100007,470000.0,0.0,M200007,0.0,0.0,1,0
5,TRANSFER,3000.0,C100008,8500.0,5500.0,C300008,1000.0,4000.0,0,0
5,PAYMENT,120.0,C100009,150.0,30.0,M200009,0.0,0.0,0,0
6,TRANSFER,105000.0,C100010,105000.0,0.0,C300010,0.0,0.0,1,0
